Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"Ashima Towers, Vastrapur, Ahmedabad",1,100.0,100.0,6666.67,1500.0,3.0,Apartment
"Ashirwad Avenue, Nava Naroda, Ahmedabad",1,36.5,36.5,3686.87,990.0,2.0,Villa/Bungalow
"Ashok Vatika, Ahmedabad",1,108.0,108.0,7843.14,1377.0,2.0,Apartment
"Ashram Road, Ahmedabad",2,104.5,104.5,6894.264999999999,1498.5,3.5,Apartment
"Ashray Abode Apartment, Ahmedabad",1,60.0,60.0,6349.21,945.0,2.0,Apartment
"Ashray Platina, New Ranip, Ahmedabad",3,49.5,48.166666666666664,5151.52,990.0,2.0,Apartment
"Ashray Residency, Chandkheda, Ahmedabad",1,40.0,40.0,4357.3,918.0,2.0,Apartment
"Ashraya 9, Ahmedabad",1,53.0,53.0,5353.54,990.0,2.0,Apartment
"Ashraya 9, Chainpur, Ahmedabad",1,45.0,45.0,6000.0,750.0,2.0,Apartment
"Ashraya 9, New Ranip, Ahmedabad",3,50.0,54.0,6250.0,880.0,2.3333333333333335,Apartment
"Aslali, Ahmedabad",1,8.0,8.0,2030.46,394.0,1.0,Apartment
"Asmaakam, Makarba Road, Ahmedabad",1,55.0,55.0,4888.89,1125.0,2.0,Apartment
"Associated Vandanam, Gota, Ahmedabad",2,63.75,63.75,7580.865,901.5,2.0,Apartment
"Atal Residency 2, Sanand, Ahmedabad",1,18.0,18.0,3719.01,484.0,2.0,Apartment
"Atlantis elevate, Vaishnodevi Circle, Ahmedabad",2,88.0,88.0,5551.28,1775.0,3.0,Apartment
"Atri Residency, Adinath Nagar, Ahmedabad",1,24.0,24.0,4800.0,500.0,1.0,Apartment
"Aum The Bellagio, Ambli, Ahmedabad",1,587.0,587.0,9591.5,6120.0,4.0,Apartment
"Aum The Bellagio, Iscon Ambli Road, Ahmedabad",1,562.0,562.0,9213.11,6100.0,4.0,Apartment
"Aurum Heights, Ambli, Ahmedabad",5,185.0,194.6,6548.04,2838.0,3.2,Apartment
"Aurum Heights, Dev Kutir 1, Ambli, Ahmedabad",1,200.0,200.0,7047.22,2838.0,3.0,Apartment
"Aurum Sky, Sola, Ahmedabad",1,100.0,100.0,7716.05,1296.0,2.0,Apartment
"Avalon courtyard, Ghodasar, Ahmedabad",4,45.0,45.875,5026.455,945.0,2.0,Apartment
"Avibhanam Panache, Vaishnodevi Circle, Ahmedabad",1,153.0,153.0,8673.47,1764.0,4.0,Apartment
"Avirat Silver Brook, Shilaj, Ahmedabad",3,105.0,106.66666666666667,9097.04,1484.0,3.0,Apartment
"Avirat Silver Harmony 2, Gota, Ahmedabad",1,130.0,130.0,11177.99,1163.0,3.0,Apartment
"Avirat Silver Luxuria, Jagatpur, Ahmedabad",1,205.0,205.0,4939.76,4150.0,4.0,Apartment
"Avishkar NK Anantaya, Vasna, Ahmedabad",3,106.0,98.66666666666667,5216.54,1915.0,3.0,Apartment
"Ayodhya Apartment, Vatva, Ahmedabad",2,17.75,17.75,2347.88,756.0,1.0,Apartment
"Ayushyaman Elegance, Ghatlodiya, Ahmedabad",1,64.0,64.0,5152.98,1242.0,2.0,Apartment
"B Desai Anand Crystal, Tragad, Ahmedabad",3,52.0,59.0,4545.45,1320.0,2.3333333333333335,Apartment
"B Desai Apoorvam, Vandematram Arcade, Ahmedabad",1,156.0,156.0,7503.61,2079.0,3.0,Apartment
"B. Nanji India Colony, Hathijan, Ahmedabad",2,25.0,25.0,2167.17,1162.5,2.0,Apartment
"B. Nanji India Colony, Vivekandnagar, Ahmedabad",2,31.0,31.0,2792.9849999999997,1220.0,2.5,Apartment
"Bakeri City, Vejalpur, Jivraj park, Ahmedabad",2,47.5,47.5,4671.715,1015.0,2.0,Apartment
"Bakeri Samyaka Apartments, Vejalpur, Jivraj park, Ahmedabad",1,45.0,45.0,4360.47,1032.0,2.0,Apartment
"Bakeri Sarvesh, Ranip, Ahmedabad",1,39.0,39.0,3648.27,1069.0,2.0,Plot
"Bakeri Shaunak Apartments, Vejalpur, Jivraj park, Ahmedabad",5,45.0,46.0,7843.14,536.0,1.8,Apartment
"Balaji Sahitya Hills and Icon, Naroda Dehgam Road, Ahmedabad",1,40.0,40.0,7692.31,520.0,2.0,Apartment
"Balaji Sahitya Hills and Icon, Nava Naroda, Ahmedabad",1,46.5,46.5,3541.51,1313.0,2.0,Villa/Bungalow
"Balaji Taj Residency, Nikol, Ahmedabad",1,38.0,38.0,3909.47,972.0,2.0,Apartment
"Balatripura Aadhya Arambh Residential, Ghatlodiya, Ahmedabad",1,131.0,131.0,10282.57,1274.0,3.0,Apartment
"Bapunagar, Ahmedabad",1,79.8,79.8,4200.0,1900.0,5.0,Villa/Bungalow
"Basil Skyline, Tragad, Ahmedabad",1,57.0,57.0,4656.86,1224.0,2.0,Apartment
"Behrampura, Ahmedabad",1,21.0,21.0,4687.5,448.0,1.0,Apartment
